,Question,Answer,Answer Chunk Index,Chunk_Page_Span,TOP_1,TOP_2,TOP_3,TOP_4,TOP_5
579,What happens to the existing laws after the Constitution comes into effect?,"All existing laws will continue in force, subject to the Constitution, until they are altered, repealed, or amended by the appropriate Legislature.",295,"(161, 162)","(158,)","(158, 160)","(158, 160, 166)","(158, 160, 166, 82)","(158, 160, 166, 82, 4)"
580,Who has the authority to make changes to existing laws to align them with the Constitution?,"The President has the authority to make adaptations to existing laws to bring them into accord with the Constitution, and he may authorize the Governor of a Province to exercise these powers in relation to provincial laws.",295,"(161, 162)","(160,)","(160, 164)","(160, 164, 165)","(160, 164, 165, 5)","(160, 164, 165, 5, 166)"
581,How should courts interpret existing laws if no adaptations have been made to align them with the Constitution?,"Courts, tribunals, or authorities required to enforce existing laws should construe the laws with all necessary adaptations to bring them into accord with the provisions of the Constitution, even if no formal adaptations have been made.",295,"(161, 162)","(160,)","(160, 159)","(160, 159, 164)","(160, 159, 164, 165)","(160, 159, 164, 165, 12)"
582,"Are the laws made between December 20, 1971, and April 20, 1972, subject to judicial review?","No, the laws made between December 20, 1971, and April 20, 1972, are declared valid and cannot be questioned in any court on any ground.",296,"(162, 162)","(161,)","(161, 162)","(161, 162, 122)","(161, 162, 122, 165)","(161, 162, 122, 165, 102)"
583,Can legal proceedings be initiated against authorities for actions taken under Martial Law Orders during the specified period?,"No, no suit or other legal proceedings shall lie in any court against any authority or person for actions taken under Martial Law Orders during the specified period.",296,"(162, 162)","(161,)","(161, 163)","(161, 163, 162)","(161, 163, 162, 165)","(161, 163, 162, 165, 164)"
584,Are acts done by any person under President's Orders during the specified period considered valid?,"Yes, acts done by any person under President's Orders during the specified period are deemed to be valid and cannot be questioned in any court.",296,"(162, 162)","(164,)","(164, 162)","(164, 162, 163)","(164, 162, 163, 159)","(164, 162, 163, 159, 161)"
585,"Can laws made by the Parliament during a specific period be challenged in court?
","No, laws made by the Parliament during the specified period from March 25, 1969, to December 19, 1971, cannot be questioned in any court on any ground.",297,"(162, 163)","(3,)","(3, 137)","(3, 137, 5)","(3, 137, 5, 39)","(3, 137, 5, 39, 87)"
586,"For how long can the validity of certain instruments not be questioned in court?
",The validity of certain instruments cannot be questioned in court for a period of two years from the commencing day.,297,"(162, 163)","(162,)","(162, 161)","(162, 161, 71)","(162, 161, 71, 142)","(162, 161, 71, 142, 39)"
587,"Who has the authority to declare orders, proceedings, or acts invalid within two years from the commencing day?
","The Parliament (Majlis-e-Shoora) has the authority to declare orders, proceedings, or acts invalid within two years from the commencing day by resolution of both Houses or by a resolution passed at a joint sitting in case of disagreement between the two Houses.",297,"(162, 163)","(162,)","(162, 161)","(162, 161, 164)","(162, 161, 164, 160)","(162, 161, 164, 160, 165)"
588,"What happens to the laws made between July 5, 1977, and the date this Article comes into force?","The laws made between July 5, 1977, and the date this Article comes into force are affirmed, adopted, and declared to have been validly made by competent authority and cannot be questioned in any court on any ground.",298,"(163, 165)","(163,)","(163, 162)","(163, 162, 154)","(163, 162, 154, 173)","(163, 162, 154, 173, 122)"
589,Can any legal action be taken against authorities or individuals for actions taken under the powers mentioned in the Article?,"No, no suit, prosecution, or other legal proceedings shall lie in any court against any authority or person for actions taken under the powers mentioned in the Article.",298,"(163, 165)","(163,)","(163, 48)","(163, 48, 38)","(163, 48, 38, 113)","(163, 48, 38, 113, 87)"
590,Who has the authority to amend the laws referred to in the Article?,The appropriate Legislature has the authority to amend the laws referred to in the Article.,298,"(163, 165)","(160,)","(160, 12)","(160, 12, 163)","(160, 12, 163, 137)","(160, 12, 163, 137, 164)"
591,"What happens to the laws made between October 12, 1999, and December 31, 2003?","All laws made between October 12, 1999, and December 31, 2003, will continue to be in force until they are altered, repealed, or amended by the competent authority.",299,"(165, 167)","(164,)","(164, 167)","(164, 167, 161)","(164, 167, 161, 162)","(164, 167, 161, 162, 122)"
592,"Are judges who took the oath under the Oath of Office (Judges) Order, 2000, considered to have held their positions legally?","Yes, judges who took the oath under the Oath of Office (Judges) Order, 2000, are deemed to have continued to hold their positions or to have been appointed under the Constitution.",299,"(165, 167)","(165,)","(165, 96)","(165, 96, 102)","(165, 96, 102, 103)","(165, 96, 102, 103, 55)"
593,"What is the status of taxes and fees levied before the Constitution (Eighteenth Amendment) Act, 2010?","All taxes and fees levied under any law in force immediately before the commencement of the Constitution (Eighteenth Amendment) Act, 2010, shall continue to be levied until they are varied or abolished by an Act of the appropriate legislature.",299,"(165, 167)","(166,)","(166, 69)","(166, 69, 174)","(166, 69, 174, 43)","(166, 69, 174, 43, 160)"
594,Are the elections held under the 1977 and 2002 orders considered to be under the Constitution?,"Yes, the elections held under the Houses of Parliament and Provincial Assemblies (Elections) Order, 1977, and the Conduct of General Elections Order, 2002, are deemed to have been held under the Constitution.",300,"(167, 167)","(166,)","(166, 162)","(166, 162, 132)","(166, 162, 132, 164)","(166, 162, 132, 164, 128)"
595,Do the elections held under the 1977 and 2002 orders have any legal effect?,"Yes, the elections held under the 1977 and 2002 orders shall have effect as if they were held under the Constitution.",300,"(167, 167)","(166,)","(166, 163)","(166, 163, 164)","(166, 163, 164, 162)","(166, 163, 164, 162, 132)"
596,When were the General Elections 2008 held in Pakistan?,"The General Elections 2008 were held on the eighteenth day of February, two thousand and eight.",301,"(167, 167)","(166,)","(166, 24)","(166, 24, 57)","(166, 24, 57, 127)","(166, 24, 57, 127, 69)"
597,Are the General Elections 2008 considered to have been held under the Constitution?,"Yes, the General Elections 2008 are deemed to have been held under the Constitution and shall have effect accordingly.",301,"(167, 167)","(166,)","(166, 24)","(166, 24, 57)","(166, 24, 57, 127)","(166, 24, 57, 127, 130)"
598,Who are the members of the first National Assembly?,The members of the first National Assembly include persons who have taken oath in the National Assembly of Pakistan existing immediately before the commencing day and persons elected in accordance with law by the members of the Assembly to fill certain seats.,302,"(168, 169)","(167,)","(167, 168)","(167, 168, 50)","(167, 168, 50, 51)","(167, 168, 50, 51, 23)"
599,What happens if a person is a member of both the National Assembly and a Provincial Assembly before the commencing day?,"If a person is a member of both the National Assembly and a Provincial Assembly before the commencing day, they must resign one of their seats before taking a seat in either assembly.",302,"(168, 169)","(168,)","(168, 37)","(168, 37, 150)","(168, 37, 150, 130)","(168, 37, 150, 130, 128)"
600,What is required for a person to sit or vote in the National Assembly?,"A person must make the oath prescribed by Article 65 to sit or vote in the National Assembly, and if they fail to do so within twenty-one days from the first meeting of the Assembly without the Speaker's leave, their seat will become vacant.",302,"(168, 169)","(23,)","(23, 37)","(23, 37, 128)","(23, 37, 128, 168)","(23, 37, 128, 168, 31)"
601,How many members did the Senate have until the first National Assembly continued in existence?,The Senate had forty-five members until the first National Assembly continued in existence.,303,"(169, 170)","(168,)","(168, 130)","(168, 130, 95)","(168, 130, 95, 31)","(168, 130, 95, 31, 51)"
602,How were the members of the Senate divided into groups?,"The members of the Senate were divided into two groups by drawing of lots, with the first group consisting of five members from each Province, two members from the Federally Administered Tribal Areas, and one member from the Federal Capital, and the second group consisting of five members from each Province, one member from the said Areas, and one member from the Federal Capital.",303,"(169, 170)","(29,)","(29, 169)","(29, 169, 168)","(29, 169, 168, 130)","(29, 169, 168, 130, 31)"
603,What was the term of office for the members of the first and second groups in the Senate?,"The term of office for the members of the first group was two years, and for the second group, it was four years.",303,"(169, 170)","(169,)","(169, 31)","(169, 31, 29)","(169, 31, 29, 30)","(169, 31, 29, 30, 168)"
604,"Who are the members of the first Provincial Assembly under the Constitution?
","The members of the first Provincial Assembly under the Constitution are the members of the Assembly of that Province in existence immediately before the commencing day, and the additional members to be elected in accordance with law by the members of the Assembly to fill the seats referred to in clause (3) of Article 106.",304,"(170, 171)","(169,)","(169, 168)","(169, 168, 170)","(169, 168, 170, 68)","(169, 168, 170, 68, 37)"
